sample super_pop pop admixture value
HG02262 AMR PEL EUR 0.187858
HG02262 AMR PEL SAS 1e-05
HG02265 AMR PEL EAS 1e-05
HG02265 AMR PEL AMR 0.918981
HG02265 AMR PEL AFR 1e-05
HG02265 AMR PEL EUR 0.080989
HG02265 AMR PEL SAS 1e-05
HG02266 AMR PEL EAS 0.023366
HG02266 AMR PEL AMR 0.939076
HG02266 AMR PEL AFR 1e-05
HG02266 AMR PEL EUR 0.037538
HG02266 AMR PEL SAS 1e-05
HG02271 AMR PEL EAS 1e-05
HG02271 AMR PEL AMR 0.99996
HG02271 AMR PEL AFR 1e-05
HG02271 AMR PEL EUR 1e-05
HG02271 AMR PEL SAS 1e-05
HG02272 AMR PEL EAS 1e-05
HG02272 AMR PEL AMR 0.99996
HG02272 AMR PEL AFR 1e-05
HG02272 AMR PEL EUR 1e-05
HG02272 AMR PEL SAS 1e-05
HG02274 AMR PEL EAS 1e-05
HG02274 AMR PEL AMR 0.644293
HG02274 AMR PEL AFR 0.253561
HG02274 AMR PEL EUR 0.074614
HG02274 AMR PEL SAS 0.027522
HG02275 AMR PEL EAS 0.004205
HG02275 AMR PEL AMR 0.974975
HG02275 AMR PEL AFR 1e-05
HG02275 AMR PEL EUR 0.0208
HG02275 AMR PEL SAS 1e-05
HG02277 AMR PEL EAS 0.00068
HG02277 AMR PEL AMR 0.70837
HG02277 AMR PEL AFR 1e-05
HG02277 AMR PEL EUR 0.262093
HG02277 AMR PEL SAS 0.028847
HG02278 AMR PEL EAS 1e-05
HG02278 AMR PEL AMR 0.898393
HG02278 AMR PEL AFR 1e-05
HG02278 AMR PEL EUR 0.101577
HG02278 AMR PEL SAS 1e-05
HG02281 AFR ACB EAS 0.00251
HG02281 AFR ACB AMR 0.008641
HG02281 AFR ACB AFR 0.986778
HG02281 AFR ACB EUR 1e-05
HG02281 AFR ACB SAS 0.002061
HG02282 AFR ACB EAS 1e-05
HG02282 AFR ACB AMR 0.003803
HG02282 AFR ACB AFR 0.815124
HG02282 AFR ACB EUR 0.157361
HG02282 AFR ACB SAS 0.023703
HG02283 AFR ACB EAS 1e-05
HG02283 AFR ACB AMR 1e-05
HG02283 AFR ACB AFR 0.819586
HG02283 AFR ACB EUR 0.166078
HG02283 AFR ACB SAS 0.014316
HG02284 AFR ACB EAS 1e-05
HG02284 AFR ACB AMR 1e-05
HG02284 AFR ACB AFR 0.850123
HG02284 AFR ACB EUR 0.149847
HG02284 AFR ACB SAS 1e-05
HG02285 AMR PEL EAS 0.006222
HG02285 AMR PEL AMR 0.798447
HG02285 AMR PEL AFR 0.016187
HG02285 AMR PEL EUR 0.15068
HG02285 AMR PEL SAS 0.028464
HG02286 AMR PEL EAS 0.008745
HG02286 AMR PEL AMR 0.727753
HG02286 AMR PEL AFR 0.008812
HG02286 AMR PEL EUR 0.254669
HG02286 AMR PEL SAS 2.1e-05
HG02291 AMR PEL EAS 1e-05
HG02291 AMR PEL AMR 0.99996
HG02291 AMR PEL AFR 1e-05
HG02291 AMR PEL EUR 1e-05
HG02291 AMR PEL SAS 1e-05
HG02292 AMR PEL EAS 1e-05
HG02292 AMR PEL AMR 0.911679
HG02292 AMR PEL AFR 1e-05
HG02292 AMR PEL EUR 0.088291
HG02292 AMR PEL SAS 1e-05
HG02298 AMR PEL EAS 0.018691
HG02298 AMR PEL AMR 0.628158
HG02298 AMR PEL AFR 0.014355
HG02298 AMR PEL EUR 0.301695
HG02298 AMR PEL SAS 0.0371
HG02299 AMR PEL EAS 0.003453
HG02299 AMR PEL AMR 0.903858
HG02299 AMR PEL AFR 1e-05
HG02299 AMR PEL EUR 0.073946
HG02299 AMR PEL SAS 0.018733
HG02301 AMR PEL EAS 1e-05
HG02301 AMR PEL AMR 0.851174
HG02301 AMR PEL AFR 1e-05
HG02301 AMR PEL EUR 0.103073
HG02301 AMR PEL SAS 0.045733
HG02304 AMR PEL EAS 0.007021
HG02304 AMR PEL AMR 0.763971
HG02304 AMR PEL AFR 0.054263
HG02304 AMR PEL EUR 0.092549
HG02304 AMR PEL SAS 0.082196
HG02307 AFR ACB EAS 1e-05
HG02307 AFR ACB AMR 0.002943
HG02307 AFR ACB AFR 0.958491
HG02307 AFR ACB EUR 1e-05
HG02307 AFR ACB SAS 0.038546
HG02308 AFR ACB EAS 1e-05
HG02308 AFR ACB AMR 1e-05
HG02308 AFR ACB AFR 0.921047
HG02308 AFR ACB EUR 0.078923
HG02308 AFR ACB SAS 1e-05
HG02309 AFR ACB EAS 1e-05
HG02309 AFR ACB AMR 0.003948
HG02309 AFR ACB AFR 0.924089
HG02309 AFR ACB EUR 0.028092
HG02309 AFR ACB SAS 0.043862
HG02312 AMR PEL EAS 0.016841
HG02312 AMR PEL AMR 0.581867
HG02312 AMR PEL AFR 0.004809
HG02312 AMR PEL EUR 0.33012
HG02312 AMR PEL SAS 0.066362
HG02314 AFR ACB EAS 1e-05
HG02314 AFR ACB AMR 1e-05
HG02314 AFR ACB AFR 0.956234
HG02314 AFR ACB EUR 0.034598
HG02314 AFR ACB SAS 0.009148
HG02315 AFR ACB EAS 1e-05
HG02315 AFR ACB AMR 1e-05
HG02315 AFR ACB AFR 0.893528
HG02315 AFR ACB EUR 0.106442
HG02315 AFR ACB SAS 1e-05
HG02317 AFR ACB EAS 0.004243
HG02317 AFR ACB AMR 1e-05
HG02317 AFR ACB AFR 0.959664
HG02317 AFR ACB EUR 0.019205
HG02317 AFR ACB SAS 0.016877
HG02318 AFR ACB EAS 0.009224
HG02318 AFR ACB AMR 1e-05
HG02318 AFR ACB AFR 0.977302
HG02318 AFR ACB EUR 0.00729
HG02318 AFR ACB SAS 0.006174
HG02322 AFR ACB EAS 1e-05
HG02322 AFR ACB AMR 1e-05
HG02322 AFR ACB AFR 0.881901
HG02322 AFR ACB EUR 0.078297
HG02322 AFR ACB SAS 0.039782
HG02323 AFR ACB EAS 1e-05
HG02323 AFR ACB AMR 0.002024
HG02323 AFR ACB AFR 0.951189
HG02323 AFR ACB EUR 0.046768
HG02323 AFR ACB SAS 1e-05
HG02325 AFR ACB EAS 1e-05
HG02325 AFR ACB AMR 1e-05
HG02325 AFR ACB AFR 0.99996
HG02325 AFR ACB EUR 1e-05
HG02325 AFR ACB SAS 1e-05
HG02330 AFR ACB EAS 0.010617
HG02330 AFR ACB AMR 0.002043
HG02330 AFR ACB AFR 0.900746
HG02330 AFR ACB EUR 0.086583
HG02330 AFR ACB SAS 1e-05
HG02332 AFR ACB EAS 1e-05
HG02332 AFR ACB AMR 1e-05
HG02332 AFR ACB AFR 0.932645
HG02332 AFR ACB EUR 0.02208
HG02332 AFR ACB SAS 0.045255
HG02334 AFR ACB EAS 0.011619
HG02334 AFR ACB AMR 0.010293
HG02334 AFR ACB AFR 0.758678
HG02334 AFR ACB EUR 0.199139
HG02334 AFR ACB SAS 0.02027
HG02337 AFR ACB EAS 1e-05
HG02337 AFR ACB AMR 1e-05
HG02337 AFR ACB AFR 0.906302
HG02337 AFR ACB EUR 0.093668
HG02337 AFR ACB SAS 1e-05
HG02339 AFR ACB EAS 1e-05
HG02339 AFR ACB AMR 1e-05
HG02339 AFR ACB AFR 0.99996
HG02339 AFR ACB EUR 1e-05
HG02339 AFR ACB SAS 1e-05
HG02343 AFR ACB EAS 1e-05
HG02343 AFR ACB AMR 0.010776
HG02343 AFR ACB AFR 0.807112
HG02343 AFR ACB EUR 0.178543
HG02343 AFR ACB SAS 0.003559
HG02345 AMR PEL EAS 0.068809
HG02345 AMR PEL AMR 0.469034
